wine,winery,category,designation,varietal,appellation,alcohol,price,rating,reviewer,review
J. Lohr 2000 Hilltop Vineyard Cabernet Sauvignon (Paso Robles),J. Lohr,Red,Hilltop Vineyard,Cabernet Sauvignon,"Paso Robles, Central Coast, California, US",,$32,87,,"Held back nearly five years, this Cab still has some sturdy tannins, but I would drink it now because the fruit's in a precarious position. It's rich and tasty now in black currants and cherries, but too soft to age."
Antucura 2010 Pinot Noir (Vista Flores),Antucura,Red,,Pinot Noir,"Vista Flores, Mendoza Province, Argentina",15%,$17,85,Michael Schachner,"Rubbery, bold and earthy on the nose, then full and sticky in the mouth, with sweet black fruit flavors. Tastes more like a Bordeaux red wine than textbook Pinot Noir courtesy of heavy extraction, darkness and oak. Tastes good but could use a lesson in elegance and restraint."
Quinta do Portal 1999 Quinta do Portal Reserva Red (Douro),Quinta do Portal,Red,Quinta do Portal Reserva,"Red Blends, Red Blends","Douro, Portugal",,,90,Roger Voss,"Smoky, meaty aromas lead into perfumed fruit flavors. The tannins are soft but dry; the fruit is very aromatic with a touch of violets and some rich, dark tannins underneath. The wine will age well—probably 5–10 years. —R.V."
Tenuta di Ghizzano 2006 Il Ghizzano Red (Toscana),Tenuta di Ghizzano,Red,Il Ghizzano,"Red Blends, Red Blends","Toscana, Tuscany, Italy",13.5%,$18,86,,"The nose is rather neutral save for distant aromas of cherry fruit, boysenberry and spice. However, the mouthfeel is more interesting thanks to the wine's chewy succulence and fresh, zesty close: An 80-20 blend of Sangiovese and Merlot."
Tenuta San Francesco 2007 Tramonti White (Campania),Tenuta San Francesco,White,Tramonti,White Blend,"Campania, Southern Italy, Italy",13.5%,$21,85,,"This intriguing blend of Falanghina, Biancolella and Pepella (three relatively unknown indigenous grapes) has a candy- or soda-like quality that recalls butterscotch and caramel. However, those notes are balanced by an elegant mineral tone and the wine has good dimension on the close."
Las Positas 2011 Estate Barbera (Livermore Valley),Las Positas,Red,Estate,Barbera,"Livermore Valley, Central Coast, California, US",15.1%,$40,89,Virginie Boone,"This is a hefty Barbera, replete with dark, brooding layers of rich cinnamon and anise, especially aromatically, and a chewy texture. Structured, it's leathery yet juicy, touched by oak, with a suggestion of petrol on the finish. But with Nonna's lasagne? Great."
Krupp Brothers 2007 The Doctor Red (Napa Valley),Krupp Brothers,Red,The Doctor,"Red Blends, Red Blends","Napa Valley, Napa, California, US",15.1%,$60,92,,"An ambitious blend of Merlot, Tempranillo, Malbec and Cabernet Sauvignon, grown mainly on Atlas Peak. It's bone dry and locked down in tannins and acidity, offering little relief, but there's a potent core of blackberries and black currants that yearns to bust through. Clearly well grown, it could be an ager, but predictions are risky."
Yvon Mau NV Premius Brut Rosé  (Crémant de Bordeaux),Yvon Mau,Sparkling,Premius Brut Rosé,"Sparkling Blend, Sparkling","Crémant de Bordeaux, Bordeaux, France",12%,$19,88,Roger Voss,"Made in a traditional style, this is a fruity, crisp blend of Cabernet Franc and Merlot. With its freshness allied to the attractive strawberry flavors, the wine has both a ripe character and a buoyant mousse and aftertaste. Drink now."
Gunter Triebaumer 2006 Blaufränkisch (Burgenland),Gunter Triebaumer,Red,,"Blaufränkisch, Other Red","Burgenland, Austria",13%,$16,87,Roger Voss,"A big, ripe wine, full of berry fruits and rhubarb, edged with tannins, spice and red plum skins. It has a juicy, rich quality, enhanced by acidity, and rounded with vanilla. Keep for a year. Screwcap."
Ata Rangi 2016 Crimson Pinot Noir (Martinborough),Ata Rangi,Red,Crimson,Pinot Noir,"Martinborough, New Zealand",13.5%,$30,89,Christina Pickard,"Founder Clive Paton is a keen conservationist, and proceeds from the sale of this wine go toward Project Crimson, which replants threatened red-flowering trees around New Zealand. The nose is a little reductive, requiring a few minutes to get going in the glass, but when it does, it's quite fragrant, with bright red berry fruit, potpourri, floral, pepper and sap characters. It's medium bodied, and the juicy, slippery fruit is tightly wound with sappy, earthy tannins and slightly bitter oak spice. Drink now–2024."
